Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
12/3/18,218.5,219.2,214.3,215.15,214.75,1099033,2373.58
11/1/18,218,220.5,216.4,217.15,217.75,2117862,4624.44
10/1/18,234.55,234.6,221.05,230.3,230.9,1534749,3486.05
9/3/18,236,243.55,235.05,236.85,236.7,5242852,12538.39
8/1/18,248.7,254.95,234.35,235.1,235.65,13272609,32325.56
7/2/18,271,273.1,263.25,264.5,264.45,3661633,9740.9
6/1/18,269.7,269.7,258.55,265.1,263.25,2622839,6920.49
5/2/18,297.4,300,289.4,293,292.75,1857277,5479.6
4/2/18,259.35,278.4,259.35,277.45,276.95,6610831,17918.02
3/1/18,275,277.35,274.1,275.45,274.85,2322191,6392.67